program,vendor,version,in_CTD
Windows App Certification Kit x64,Microsoft,10.1.19041.685,no
Windows Desktop Extension SDK,Microsoft,10.1.19041.685,no
Windows Desktop Extension SDK Contracts,Microsoft,10.1.19041.685,no
Windows Driver Package - Silicon Laboratories (silabenm) Ports  (12/10/2012 6.6.1.0),Silicon Laboratories,12/10/2012 6.6.1.0,no
Windows Driver Package - STMicroelectronics (usbser) Ports  (04/25/2010 1.3.1),STMicroelectronics,04/25/2010 1.3.1,no
Windows IoT Extension SDK,Microsoft,10.1.19041.685,no
Windows IoT Extension SDK Contracts,Microsoft,10.1.19041.685,no
Windows Mobile Extension SDK,Microsoft,10.1.19041.685,no
Windows Mobile Extension SDK Contracts,Microsoft,10.1.19041.685,no
Windows SDK,Microsoft,10.1.19041.685,no
Windows SDK AddOn,Microsoft,10.1.0.0,no
Windows SDK ARM Desktop Tools,Microsoft,10.1.19041.685,no
Windows SDK Desktop Headers arm,Microsoft,10.1.19041.685,no
Windows SDK Desktop Headers arm64,Microsoft,10.1.19041.685,no
Windows SDK Desktop Headers x64,Microsoft,10.1.19041.685,no
Windows SDK Desktop Headers x86,Microsoft,10.1.19041.685,no
Windows SDK Desktop Libs arm,Microsoft,10.1.19041.685,no
Windows SDK Desktop Libs arm64,Microsoft,10.1.19041.685,no
Windows SDK Desktop Libs x64,Microsoft,10.1.19041.685,no
Windows SDK Desktop Libs x86,Microsoft,10.1.19041.685,no
Windows SDK Desktop Tools arm64,Microsoft,10.1.19041.685,no
Windows SDK Desktop Tools x64,Microsoft,10.1.19041.685,no
Windows SDK Desktop Tools x86,Microsoft,10.1.19041.685,no
Windows SDK DirectX x64 Remote,Microsoft,10.1.19041.685,no
Windows SDK DirectX x86 Remote,Microsoft,10.1.19041.685,no
Windows SDK EULA,Microsoft,10.1.19041.685,no
Windows SDK Facade Windows WinMD Versioned,Microsoft,10.1.19041.685,no
Windows SDK for Windows Store Apps,Microsoft,10.1.19041.685,no
Windows SDK for Windows Store Apps Contracts,Microsoft,10.1.19041.685,no
Windows SDK for Windows Store Apps DirectX x86 Remote,Microsoft,10.1.19041.685,no
Windows SDK for Windows Store Apps Headers,Microsoft,10.1.19041.685,no
Windows SDK for Windows Store Apps Libs,Microsoft,10.1.19041.685,no
Windows SDK for Windows Store Apps Metadata,Microsoft,10.1.19041.685,no
Windows SDK for Windows Store Apps Tools,Microsoft,10.1.19041.685,no
Windows SDK for Windows Store Managed Apps Libs,Microsoft,10.1.19041.685,no
Windows SDK Modern Non-Versioned Developer Tools,Microsoft,10.1.19041.685,no
