Program,Version,Queried_CPE,Confidence,CVE,CVSS_Version,Base_Score,Base_Severity,CISA_KEV
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10012,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10013,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10015,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10016,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10017,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10018,3.1,6.5,MEDIUM,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10019,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10021,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10022,3.1,7.5,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9873,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9874,3.1,9.6,CRITICAL,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9877,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9878,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9879,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9880,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9882,3.1,6.5,MEDIUM,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9883,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9887,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9890,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9891,3.1,9.0,CRITICAL,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9893,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9894,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9895,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9896,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9897,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9899,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9900,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9901,3.1,7.5,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9902,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9903,3.1,5.0,MEDIUM,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9904,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9905,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9906,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9907,3.1,4.3,MEDIUM,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9908,3.1,6.5,MEDIUM,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9909,3.1,7.5,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9910,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9911,3.1,4.3,MEDIUM,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9913,3.1,4.3,MEDIUM,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9914,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9915,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9916,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9918,3.1,9.6,CRITICAL,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9923,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9924,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9925,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9926,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9927,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9928,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9931,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9932,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9933,3.1,7.5,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9934,3.1,7.5,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9935,3.1,4.3,MEDIUM,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9937,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9938,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9939,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9940,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9941,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9942,3.1,5.0,MEDIUM,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9944,3.1,3.1,LOW,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9945,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9946,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9947,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9949,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9951,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9952,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9953,3.1,6.5,MEDIUM,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9954,3.1,7.5,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9957,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9958,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9959,3.1,3.1,LOW,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9960,3.1,7.5,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9961,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9962,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9965,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9966,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9967,3.1,9.6,CRITICAL,N/A
Microsoft 365 Apps for enterprise - en-us,16.0.19929.20172,cpe:2.3:a:microsoft:365_apps:16.0.19929.20172:*:*:*:*:*:*:*,O,CVE-2024-21402,3.1,7.1,HIGH,N/A
Microsoft Teams Meeting Add-in for Microsoft Office,1.26.08901,cpe:2.3:a:microsoft:teams:1.26.08901:*:*:*:*:*:*:*,O,CVE-2020-10146,3.1,5.4,MEDIUM,N/A
Microsoft Teams Meeting Add-in for Microsoft Office,1.26.08901,cpe:2.3:a:microsoft:teams:1.26.08901:*:*:*:*:*:*:*,O,CVE-2023-24881,3.1,6.5,MEDIUM,N/A
