program,vendor,version,cleaned name,cpe_name
Nmap 7.95,Nmap Project,7.95,Nmap,cpe:2.3:a:nmap:nmap:*:*:*:*:*:*:*:*
Node.js,Node.js,22.11.0,Node.js,cpe:2.3:a:joyent:node.js:*:*:*:*:*:*:*:*
Notepad++ (64-bit x64),Notepad++ Team,8.9.1,Notepad++,cpe:2.3:a:don_ho:notepad\+\+:*:*:*:*:*:*:*:*
Npcap,Nmap Project,1.79,Npcap,cpe:2.3:a:nmap:npcap:*:*:*:*:*:*:*:*
Office 16 Click-to-Run Extensibility Component,Microsoft,16.0.19929.20172,Office 16 Click-to-Run Extensibility Component,NOT_FOUND
OPC Core Components Redistributable (x64) 105.0,OPC,3.00.10501,OPC Core Components Redistributable,NOT_FOUND
Oracle VirtualBox 7.1.4,Oracle And/Or ITS Affiliates,7.1.4,Oracle VirtualBox,cpe:2.3:a:oracle:virtualbox:*:*:*:*:*:*:*:*
Poly Lens Control Service,Hewlett Packard,1.11.793,Poly Lens Control Service,NOT_FOUND (Skipped)
Poly Lens Desktop,Hewlett Packard,2.2.0.3547,Poly Lens Desktop,NOT_FOUND (Skipped)
Postman x86_64 11.34.5,Postman,11.34.5,Postman,cpe:2.3:a:postman:postman:*:*:*:*:*:*:*:*
PyCharm 2025.1.1,JetBrains,251.25410.122,PyCharm,cpe:2.3:a:jetbrains:pycharm:*:*:*:*:*:*:*:*
Python 3.12.6 (64-bit),Python Software,3.12.6150.0,Python,cpe:2.3:a:python:python:*:*:*:*:*:*:*:*
Python 3.12.6 Add to Path (64-bit),Python Software,3.12.6150.0,Python Add to Path,NOT_FOUND
Python 3.12.6 Core Interpreter (64-bit),Python Software,3.12.6150.0,Python Core Interpreter,NOT_FOUND
Python 3.12.6 Development Libraries (64-bit),Python Software,3.12.6150.0,Python Development Libraries,NOT_FOUND
Python 3.12.6 Documentation (64-bit),Python Software,3.12.6150.0,Python Documentation,cpe:2.3:a:python-gnupg_project:python-gnupg:*:*:*:*:*:*:*:*
Python 3.12.6 Executables (64-bit),Python Software,3.12.6150.0,Python Executables,NOT_FOUND
Python 3.12.6 pip Bootstrap (64-bit),Python Software,3.12.6150.0,Python pip Bootstrap,NOT_FOUND
Python 3.12.6 Standard Library (64-bit),Python Software,3.12.6150.0,Python Standard Library,NOT_FOUND
Python 3.12.6 Tcl/Tk Support (64-bit),Python Software,3.12.6150.0,Python Tcl/Tk Support,NOT_FOUND
Python 3.12.6 Test Suite (64-bit),Python Software,3.12.6150.0,Python Test Suite,NOT_FOUND
Python 3.13.3 (64-bit),Python Software,3.13.3150.0,Python,cpe:2.3:a:python:python:*:*:*:*:*:*:*:*
Python 3.13.3 Add to Path (64-bit),Python Software,3.13.3150.0,Python Add to Path,NOT_FOUND
Python 3.13.3 Core Interpreter (64-bit),Python Software,3.13.3150.0,Python Core Interpreter,NOT_FOUND
Python 3.13.3 Development Libraries (64-bit),Python Software,3.13.3150.0,Python Development Libraries,NOT_FOUND
Python 3.13.3 Documentation (64-bit),Python Software,3.13.3150.0,Python Documentation,cpe:2.3:a:python-gnupg_project:python-gnupg:*:*:*:*:*:*:*:*
Python 3.13.3 Executables (64-bit),Python Software,3.13.3150.0,Python Executables,NOT_FOUND
Python 3.13.3 pip Bootstrap (64-bit),Python Software,3.13.3150.0,Python pip Bootstrap,NOT_FOUND
Python 3.13.3 Standard Library (64-bit),Python Software,3.13.3150.0,Python Standard Library,NOT_FOUND
Python 3.13.3 Tcl/Tk Support (64-bit),Python Software,3.13.3150.0,Python Tcl/Tk Support,NOT_FOUND
Python 3.13.3 Test Suite (64-bit),Python Software,3.13.3150.0,Python Test Suite,NOT_FOUND
Python Launcher,Python Software,3.13.3150.0,Python Launcher,NOT_FOUND
SDK ARM Additions,Microsoft,10.1.19041.685,SDK ARM Additions,NOT_FOUND
SDK ARM Redistributables,Microsoft,10.1.19041.685,SDK ARM Redistributables,NOT_FOUND
Smart Card Browser Extension,CardID.org,0.4.2,Smart Card Browser Extension,NOT_FOUND
Tracer TU 11.10,Trane,11.10.264,Tracer TU,NOT_FOUND
UltraVNC,Uvnc Bvba,1.6.4.0,UltraVNC,cpe:2.3:a:ultravnc:vnc_viewer:*:*:*:*:*:*:*:*
Universal CRT Extension SDK,Microsoft,10.1.19041.685,Universal CRT Extension SDK,NOT_FOUND
Universal CRT Headers Libraries and Sources,Microsoft,10.1.19041.685,Universal CRT Headers Libraries and Sources,NOT_FOUND
Universal CRT Redistributable,Microsoft,10.1.19041.685,Universal CRT Redistributable,NOT_FOUND
Universal CRT Redistributable,Microsoft,10.0.26624,Universal CRT Redistributable,NOT_FOUND
Universal CRT Tools x64,Microsoft,10.1.19041.685,Universal CRT Tools,NOT_FOUND
Universal CRT Tools x86,Microsoft,10.1.19041.685,Universal CRT Tools,NOT_FOUND
Universal General MIDI DLS Extension SDK,Microsoft,10.1.19041.685,Universal General MIDI DLS Extension SDK,NOT_FOUND
Update for  (KB2504637),Microsoft,1,Update (KB2504637),NOT_FOUND
vcpp_crt.redist.clickonce,Microsoft,14.29.30157,vcpp_crt.redist.clickonce,NOT_FOUND
Visual Studio Build Tools 2019,Microsoft,16.11.42,Visual Studio Build Tools 2019,NOT_FOUND
VLC media player,VideoLAN,3.0.21,VLC media player,cpe:2.3:a:videolan:vlc_media_player:*:*:*:*:*:*:*:*
VMware Workstation,VMware,25.0.1,VMware Workstation,cpe:2.3:a:vmware:workstation:*:*:*:*:*:*:*:*
vs_communitymsi,Microsoft,16.11.34930,vs_communitymsi,NOT_FOUND
vs_communitymsires,Microsoft,16.10.31213,vs_communitymsires,NOT_FOUND
vs_filehandler_amd64,Microsoft,16.11.31503,vs_filehandler_amd64,NOT_FOUND
vs_filehandler_x86,Microsoft,16.11.31503,vs_filehandler_x86,NOT_FOUND
vs_FileTracker_Singleton,Microsoft,16.11.34827,vs_FileTracker_Singleton,NOT_FOUND
vs_minshellinteropmsi,Microsoft,16.10.31306,vs_minshellinteropmsi,NOT_FOUND
vs_minshellmsi,Microsoft,16.11.34902,vs_minshellmsi,NOT_FOUND
vs_minshellmsires,Microsoft,16.10.31303,vs_minshellmsires,NOT_FOUND
VS Script Debugging Common,Microsoft,16.0.102.0,VS Script Debugging Common,NOT_FOUND
Webex,Cisco,44.7.0.30141,Webex,cpe:2.3:a:cisco:webex:*:*:*:*:*:*:*:*
WinAppDeploy,Microsoft,10.1.19041.685,WinAppDeploy,NOT_FOUND
Windows App Certification Kit Native Components,Microsoft,10.1.19041.685,Windows App Certification Kit Native Components,NOT_FOUND
Windows App Certification Kit SupportedApiList x86,Microsoft,10.1.19041.685,Windows App Certification Kit SupportedApiList,NOT_FOUND
Windows App Certification Kit x64,Microsoft,10.1.19041.685,Windows App Certification Kit,NOT_FOUND
Windows Desktop Extension SDK,Microsoft,10.1.19041.685,Windows Desktop Extension SDK,NOT_FOUND
