Asset ID,Asset Name,Item,CVE ID
239,10.1.30.6,43,CVE-2017-12089
239,10.1.30.6,44,RA-65980
376,10.1.30.1:Card 2 \ Addr 11,1,CVE-2021-22681
402,DESKTOP-5NATTOG,1,CVE-2025-20236
402,DESKTOP-5NATTOG,2,CVE-2024-27198
402,DESKTOP-5NATTOG,3,CVE-2023-20134
402,DESKTOP-5NATTOG,4,CVE-2023-20132
402,DESKTOP-5NATTOG,5,CVE-2025-30023
402,DESKTOP-5NATTOG,6,CVE-2019-12255
402,DESKTOP-5NATTOG,7,CVE-2025-30025
402,DESKTOP-5NATTOG,8,CVE-2026-33622
402,DESKTOP-5NATTOG,9,CVE-2025-30024
402,DESKTOP-5NATTOG,10,CVE-2026-44815
402,DESKTOP-5NATTOG,11,CVE-2026-47291
402,DESKTOP-5NATTOG,12,CVE-2026-45657
402,DESKTOP-5NATTOG,13,CVE-2026-11002
402,DESKTOP-5NATTOG,14,CVE-2026-9970
402,DESKTOP-5NATTOG,15,CVE-2026-9887
402,DESKTOP-5NATTOG,16,CVE-2026-11304
402,DESKTOP-5NATTOG,17,CVE-2026-10903
402,DESKTOP-5NATTOG,18,CVE-2026-9965
402,DESKTOP-5NATTOG,19,CVE-2026-11239
402,DESKTOP-5NATTOG,20,CVE-2026-9939
402,DESKTOP-5NATTOG,21,CVE-2026-9977
402,DESKTOP-5NATTOG,22,CVE-2026-10001
402,DESKTOP-5NATTOG,23,CVE-2026-10940
402,DESKTOP-5NATTOG,24,CVE-2026-10939
402,DESKTOP-5NATTOG,25,CVE-2026-11282
402,DESKTOP-5NATTOG,26,CVE-2026-9924
402,DESKTOP-5NATTOG,27,CVE-2026-9962
402,DESKTOP-5NATTOG,28,CVE-2026-9987
402,DESKTOP-5NATTOG,29,CVE-2026-10959
402,DESKTOP-5NATTOG,30,CVE-2026-9946
402,DESKTOP-5NATTOG,31,CVE-2026-9875
402,DESKTOP-5NATTOG,32,CVE-2026-10920
402,DESKTOP-5NATTOG,33,CVE-2026-9112
402,DESKTOP-5NATTOG,34,CVE-2026-10970
402,DESKTOP-5NATTOG,35,CVE-2026-9961
402,DESKTOP-5NATTOG,36,CVE-2026-11306
402,DESKTOP-5NATTOG,37,CVE-2026-11683
402,DESKTOP-5NATTOG,38,CVE-2026-10928
402,DESKTOP-5NATTOG,39,CVE-2026-11235
402,DESKTOP-5NATTOG,40,CVE-2026-11091
402,DESKTOP-5NATTOG,41,CVE-2026-11103
402,DESKTOP-5NATTOG,42,CVE-2026-9884
402,DESKTOP-5NATTOG,43,CVE-2026-11040
402,DESKTOP-5NATTOG,44,CVE-2026-10000
402,DESKTOP-5NATTOG,45,CVE-2026-11054
402,DESKTOP-5NATTOG,46,CVE-2026-9902
402,DESKTOP-5NATTOG,47,CVE-2026-11201
402,DESKTOP-5NATTOG,48,CVE-2026-10975
402,DESKTOP-5NATTOG,49,CVE-2026-11637
402,DESKTOP-5NATTOG,50,CVE-2026-11030
402,DESKTOP-5NATTOG,51,CVE-2026-11272
402,DESKTOP-5NATTOG,52,CVE-2026-11693
402,DESKTOP-5NATTOG,53,CVE-2026-10901
402,DESKTOP-5NATTOG,54,CVE-2026-11207
402,DESKTOP-5NATTOG,55,CVE-2026-11301
402,DESKTOP-5NATTOG,56,CVE-2026-11088
402,DESKTOP-5NATTOG,57,CVE-2026-10898
402,DESKTOP-5NATTOG,58,CVE-2026-10953
402,DESKTOP-5NATTOG,59,CVE-2026-10906
402,DESKTOP-5NATTOG,60,CVE-2026-10986
402,DESKTOP-5NATTOG,61,CVE-2026-9932
402,DESKTOP-5NATTOG,62,CVE-2026-10911
402,DESKTOP-5NATTOG,63,CVE-2026-11052
402,DESKTOP-5NATTOG,64,CVE-2026-9960
402,DESKTOP-5NATTOG,65,CVE-2026-11297
402,DESKTOP-5NATTOG,66,CVE-2026-11641
402,DESKTOP-5NATTOG,67,CVE-2026-10019
402,DESKTOP-5NATTOG,68,CVE-2026-11664
402,DESKTOP-5NATTOG,69,CVE-2026-11144
402,DESKTOP-5NATTOG,70,CVE-2026-11211
402,DESKTOP-5NATTOG,71,CVE-2026-10902
402,DESKTOP-5NATTOG,72,CVE-2026-11293
402,DESKTOP-5NATTOG,73,CVE-2026-11248
402,DESKTOP-5NATTOG,74,CVE-2026-9951
402,DESKTOP-5NATTOG,75,CVE-2026-11692
402,DESKTOP-5NATTOG,76,CVE-2026-10886
402,DESKTOP-5NATTOG,77,CVE-2026-11049
402,DESKTOP-5NATTOG,78,CVE-2026-11647
402,DESKTOP-5NATTOG,79,CVE-2026-11094
402,DESKTOP-5NATTOG,80,CVE-2026-11112
402,DESKTOP-5NATTOG,81,CVE-2026-11657
402,DESKTOP-5NATTOG,82,CVE-2026-11677
402,DESKTOP-5NATTOG,83,CVE-2026-9890
402,DESKTOP-5NATTOG,84,CVE-2026-9880
402,DESKTOP-5NATTOG,85,CVE-2026-9899
402,DESKTOP-5NATTOG,86,CVE-2026-10945
