id,name,ipv4,ipv6,mac,os,model,vendor,firmware
498,C3560CX-8XPD-attic.4,192.168.1.4,None,None,None,WS-C3560CX-8XPD-S,Cisco,15.2(7)E7(fc10)
500,C3560CX-12PD-MBRCl.20,"192.168.1.20, 192.168.35.87",None,"70:6E:6D:ED:B5:40, 70:6E:6D:ED:B5:41",None,WS-C3560CX-12PD-S,Cisco,15.2(4)E3(fc2)
501,e0553d84ac4f,192.168.1.181,None,None,None,Meraki MV71 Cloud Managed Outdoor HD Do,None,None
502,axis-accc8eeb7c6a,192.168.1.106,None,None,None,Linux,None,None
503,C3560CX-8PC.mbrc2.21,192.168.1.21,None,None,None,WS-C3560CX-8PC-S,Cisco,15.2(7)E(fc3)
504,192.168.116.138,192.168.116.138,None,00:19:BB:4F:4C:D8,None,None,Hewlett Packard,None
505,192.168.116.172,192.168.116.172,None,00:1C:C4:33:C6:DD,None,None,Hewlett Packard,None
508,IE11WIN7,192.168.198.203,None,00:0C:29:68:24:5A,Windows 7/Server 2008 R2,None,VMware,None
509,DESKTOP-AFPVEQ2,192.168.198.204,None,00:0C:29:A3:01:B7,Windows 10,None,VMware,None
511,WIN10A-CLONE,192.168.1.2,None,08:00:27:D7:C6:56,Windows 10,None,PCS Systemtechnik,None
513,WIN10A,192.168.1.3,None,08:00:27:4F:97:E5,Windows 10,None,PCS Systemtechnik,None
517,192.168.198.2,192.168.198.2,None,00:50:56:F0:72:30,None,None,VMware,None
523,10.1.1.228,10.1.1.228,None,B4:99:BA:EB:22:73,None,None,Hewlett Packard,None
524,10.1.1.24,10.1.1.24,None,D4:AE:52:B2:9D:D0,None,None,Dell,None
525,172.16.4.91,172.16.4.91,None,00:50:56:AA:BB:CC,None,None,VMware,None
526,00:50:56:11:22:33,None,None,00:50:56:11:22:33,None,None,VMware,None
527,00:00:00:00:00:00,None,None,00:00:00:00:00:00,None,None,None,None
529,10.1.1.110,10.1.1.110,None,00:0C:29:FA:B0:5D,None,None,VMware,None
531,00:50:56:ED:27:3B,None,None,00:50:56:ED:27:3B,None,None,VMware,None
533,192.168.195.254,192.168.195.254,None,None,None,None,None,None
540,bt,172.16.38.130,None,00:0C:29:21:A3:93,None,None,VMware,None
541,test.google.com,172.16.38.131,None,00:0C:29:64:55:45,None,None,VMware,None
543,bt,192.168.195.131,None,00:0C:29:21:A3:89,None,None,VMware,None
544,test.google.com,"192.168.195.131, 192.168.195.133, 192.168.195.135",None,00:0C:29:FB:D2:1A,None,None,VMware,None
547,ubuntu,192.168.195.135,fe80::20c:29ff:fe9a:e927,00:0C:29:9A:E9:27,None,None,VMware,None
549,192.168.195.1,192.168.195.1,fe80::250:56ff:fec0:8,00:50:56:C0:00:08,None,None,VMware,None
550,00:50:56:F3:5B:65,None,None,00:50:56:F3:5B:65,None,None,VMware,None
551,172.16.38.254,172.16.38.254,None,None,None,None,None,None
