CVE ID,Item,Asset Name,Asset ID,Class Type,Ipv4,Ipv6,Mac,Vendor,Os,Model,Firmware,Serial Number,Num Alerts,Insight Names
CVE-2025-30023,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2025-30024,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2025-30025,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2025-7353,1,Chemical_plant_xx,30,OT,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,,,
CVE-2026-10000,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10001,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10002,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10003,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10005,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10006,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10007,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10009,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10012,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10013,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10015,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10016,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10017,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10019,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10020,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
